timestamp,open,high,low,close,volume,log_return,volatility,trend_slope,volume_zscore,price_dist_ma
2015-09-12,240.9,241.12,235.26,236.5,5480.20471378,-0.01843370168883802,0.026112864584016016,-0.016007301936164745,-0.5807511872003157,-0.06714136614681661
2015-09-13,236.5,236.91,229.72,230.82,5004.42997556,-0.024310021939728945,0.026627217415867824,-0.01790649438346521,-0.7193258775283324,-0.08529698721032614
2015-09-14,230.83,233.99,228.01,231.01,7984.56251326,0.0008228136358379076,0.01880307465012525,-0.019932565099053542,0.20628956308129337,-0.07995886678142128
2015-09-15,231.02,232.43,230.26,230.6,7118.30792605,-0.0017763917931380676,0.014267970306617632,-0.02197471402769426,0.26058994631726773,-0.07691470147437451
2015-09-16,230.67,232.0,226.85,229.73,7655.65298843,-0.0037799015308791237,0.014026067444118141,-0.02446902095746464,0.7556572414244568,-0.07551013345202165
2015-09-17,229.72,235.93,229.01,233.34,7527.99830632,0.015591911091631425,0.01434262092498751,-0.024923511300275637,0.6821440895241053,-0.05666632168592086
2015-09-18,233.31,234.96,231.75,233.78,4688.4507946,0.0018838847839133543,0.013289915009997696,-0.024695589180005213,-1.33311262360756,-0.05068816783384898
2015-09-19,233.78,234.31,232.0,232.88,3604.57190273,-0.0038572027422564964,0.013286408342403763,-0.02393885563934554,-2.026753853348685,-0.0503082175580426
2015-09-20,232.88,234.0,231.84,232.24,3683.55398908,-0.0027519797209932697,0.013242580526731686,-0.022862818991559605,-1.8011244391595571,-0.04909540409760273
2015-09-21,232.26,233.64,226.87,227.31,7599.80481578,-0.02145659510498281,0.014016558834612091,-0.02208499023545118,0.8713087629129703,-0.0650465358474922
2015-09-22,227.31,232.5,224.45,231.28,8900.96660186,0.017314373096698844,0.01433494930948581,-0.021582531769992367,1.7186959069687324,-0.04481458384097853
2015-09-23,231.31,233.0,229.27,230.26,6357.67604853,-0.00441999246257231,0.014281758428990836,-0.021726286790636856,0.05137355692871029,-0.044667380282625076
2015-09-24,230.26,235.99,230.09,235.27,9375.09414213,0.021524685546809273,0.014737559146234641,-0.021411553008214065,1.832436702016728,-0.020018660757426747
2015-09-25,235.35,237.62,234.02,235.89,6186.86283845,0.002631803879206556,0.01425572335228517,-0.02102752164708477,-0.11296652353680374,-0.013841090832472135
