,open,high,low,close,volume,log_return,volatility,trend_slope,volume_zscore,price_dist_ma,regime_wf_viterbi,prob_crash,prob_sideways,prob_bull,regime_wf_forward
2017-11-07,6969.76,7232.84,6968.49,7126.63,14505.79432211,0.0222576810261471,0.034412480117621,0.0666834686927064,-0.1810877752212528,0.3551587011828506,2,0.000182603219288815,3.442436109955931e-10,0.9998173964366501,2
2017-11-08,7128.99,7898.0,7031.66,7467.96,38184.63758966,0.0467833975585053,0.0350576056682792,0.0644357968652654,2.5813037776569323,0.4011059490549298,2,2.955701646379478e-08,7.931838340088264e-13,0.9999999704423321,2
2017-11-09,7467.97,7470.01,7079.0,7156.0,18059.36167926,-0.0426707038322637,0.0370787315034271,0.0622110976959648,0.1132513890163981,0.3262350230054333,2,0.00010885275472739936,5.007736544332793e-15,0.9998911472452952,2
2017-11-10,7156.0,7350.0,6426.0,6577.62,34072.93239507,-0.0842781878668989,0.0413832455659072,0.0589498479943385,1.8039927327909853,0.2058123439347066,2,0.001462677402580147,5.429735134674252e-21,0.9985373225973395,2
2017-11-11,6577.63,6894.99,6201.01,6346.7,25651.2940802,-0.0357379849974161,0.0422981236510868,0.0564708603650628,0.7915686181597286,0.1519594345907861,2,0.13687370406510013,2.067914383820718e-10,0.8631262957280996,2
2017-11-12,6346.64,6486.0,5511.11,5886.35,52487.43253081,-0.0752988816058809,0.045580524012706,0.0527019672257181,2.780947370330959,0.0603241747499119,0,0.6900844286815352,3.825087704351075e-21,0.309915571318325,0
2017-11-13,5886.35,6841.45,5850.0,6535.87,36435.45627543,0.1046693563427382,0.050872701913787,0.0496992600805614,1.2528652806408365,0.1652885168053244,0,0.9999913552561196,5.784143858080648e-26,8.644743887576514e-06,0
2017-11-14,6535.87,6748.0,6450.0,6605.0,20256.43299376,0.0105214704552737,0.0481701817532621,0.0471132189182307,-0.105934533356291,0.1664450509370041,0,0.9999313871041705,1.2287650999415516e-09,6.861166693796701e-05,0
2017-11-15,6605.0,7349.0,6605.0,7294.0,27878.77629558,0.0992251544121999,0.0517614144886878,0.0481188767327254,0.4786480331900274,0.2727978085122987,0,0.9999735016085888,1.0323704024040542e-20,2.6498391623267953e-05,0
2017-11-16,7294.0,7985.37,7130.0,7838.53,29352.77615064,0.0719992243955054,0.0533575141249286,0.0506544638166278,0.5390967654423728,0.3506665772945865,0,0.9949492080339888,5.974813713703593e-16,0.005050791965798003,0
